lemma,display_word,variant,oxford_pos
code,code,,n.
accident,accident,,n.
impossible,impossible,,adj.
active,active,,adj.
blow,blow,,v.
wash,wash,,n.
stone,stone,,n.
soldier,soldier,,n.
comfortable,comfortable,,adj.
usual,usual,,adj.
carefully,carefully,,adv.
pack,pack,,v.
cycle,cycle,,n.|v.
onto,onto,,prep.
vehicle,vehicle,,n.
route,route,,n.
belong,belong,,v.
taste,taste,,n.|v.
fashion,fashion,,n.
danger,danger,,n.
army,army,,n.
hurt,hurt,,adj.|v.
normally,normally,,adv.
gift,gift,,n.
guest,guest,,n.
anybody,anybody,,pron.
noise,noise,,n.
manner,manner,,n.
gun,gun,,n.
square,square,,adj.|n.
destroy,destroy,,v.
temperature,temperature,,n.
gold,gold,,adj.|n.
arrangement,arrangement,,n.
skin,skin,,n.
prison,prison,,n.
wood,wood,,n.
shake,shake,,v.
hall,hall,,n.
lawyer,lawyer,,n.
complain,complain,,v.
error,error,,n.
finger,finger,,n.
bright,bright,,adj.
slowly,slowly,,adv.
hole,hole,,n.
tie,tie,,n.|v.
device,device,,n.
birth,birth,,n.
forest,forest,,n.
factory,factory,,n.
typical,typical,,adj.
bridge,bridge,,n.
definitely,definitely,,adv.
predict,predict,,v.
appearance,appearance,,n.
narrow,narrow,,adj.
succeed,succeed,,v.
wild,wild,,adj.
empty,empty,,adj.
