lemma,display_word,variant,oxford_pos
injure,injure,,v.
remote,remote,,adj.
throat,throat,,n.
forever,forever,,adv.
reliable,reliable,,adj.
click,click,,n.|v.
poet,poet,,n.
ceremony,ceremony,,n.
mixture,mixture,,n.
automatically,automatically,,adv.
clause,clause,,n.
fancy,fancy,,adj.
poetry,poetry,,n.
shelf,shelf,,n.
tail,tail,,n.
pot,pot,,n.
fold,fold,,v.
pretend,pretend,,v.
shell,shell,,n.
pipe,pipe,,n.
flag,flag,,n.
magic,magic,,adj.|n.
mystery,mystery,,n.
coin,coin,,n.
scan,scan,,v.
trick,trick,,n.|v.
narrative,narrative,,adj.|n.
shine,shine,,v.
romantic,romantic,,adj.
pray,pray,,v.
servant,servant,,n.
immigrant,immigrant,,n.
continuous,continuous,,adj.
consume,consume,,v.
luxury,luxury,,n.
bite,bite,,n.|v.
fence,fence,,n.
attraction,attraction,,n.
hurry,hurry,,n.|v.
revise,revise,,v.
bell,bell,,n.
liquid,liquid,,adj.|n.
happiness,happiness,,n.
silly,silly,,adj.
horrible,horrible,,adj.
portrait,portrait,,n.
innocent,innocent,,adj.
tent,tent,,n.
stranger,stranger,,n.
grain,grain,,n.
summarize,summarize,,v.
leather,leather,,n.
excitement,excitement,,n.
slice,slice,,n.|v.
gentle,gentle,,adj.
qualification,qualification,,n.
pale,pale,,adj.
tongue,tongue,,n.
royal,royal,,adj.
curtain,curtain,,n.
