lemma,display_word,variant,oxford_pos
real,real,,adj.
answer,answer,,n.|v.
sit,sit,,v.
letter,letter,,n.
decide,decide,,v.
language,language,,n.
subject,subject,,n.
class,class,,n.
town,town,,n.
half,half,,det.|n.|pron.
minute,minute,,n.
food,food,,n.
break,break,,n.|v.
future,future,,n.
ago,ago,,adv.
win,win,,v.
color,color,colour,n.
period,period,,n.
across,across,,adv.|prep.
note,note,,n.
history,history,,n.
create,create,,v.
drive,drive,,v.
type,type,,n.
sound,sound,,n.|v.
eye,eye,,n.
music,music,,n.
game,game,,n.
free,free,,adj.
moment,moment,,n.
body,body,,n.
wait,wait,,v.
team,team,,n.
easy,easy,,adj.
full,full,,adj.
black,black,,adj.|n.
add,add,,v.
rule,rule,,n.
sell,sell,,v.
short,short,,adj.
agree,agree,,v.
everything,everything,,pron.
paper,paper,,n.
near,near,,adj.|adv.|prep.
computer,computer,,n.
situation,situation,,n.
activity,activity,,n.
morning,morning,,n.
shop,shop,,n.|v.
someone,someone,,pron.
above,above,,adv.|prep.
design,design,,n.|v.
event,event,,n.
special,special,,adj.
sometimes,sometimes,,adv.
carry,carry,,v.
choose,choose,,v.
father,father,,n.
table,table,,n.
main,main,,adj.
