lemma,display_word,variant,oxford_pos
ugly,ugly,,adj.
bake,bake,,v.
bee,bee,,n.
brave,brave,,adj.
clever,clever,,adj.
drum,drum,,n.
prince,prince,,n.
robot,robot,,n.
shy,shy,,adj.
annoy,annoy,,v.
automatic,automatic,,adj.
battery,battery,,n.
bubble,bubble,,n.
captain,captain,,n.
ceiling,ceiling,,n.
client,client,,n.
clue,clue,,n.
cotton,cotton,,n.
countryside,countryside,,n.
cruel,cruel,,adj.
definite,definite,,adj.
departure,departure,,n.
destination,destination,,n.
dirt,dirt,,n.
donate,donate,,v.
exit,exit,,n.
fry,fry,,v.
fur,fur,,n.
garage,garage,,n.
ghost,ghost,,n.
glove,glove,,n.
helicopter,helicopter,,n.
highway,highway,,n.
leaf,leaf,,n.
mud,mud,,n.
nail,nail,,n.
neat,neat,,adj.
pan,pan,,n.
pin,pin,,n.|v.
poison,poison,,n.|v.
powder,powder,,n.
punish,punish,,v.
quit,quit,,v.
rope,rope,,n.
toe,toe,,n.
wool,wool,,n.
ambition,ambition,,n.
assignment,assignment,,n.
convenient,convenient,,adj.
corn,corn,,n.
costume,costume,,n.
disadvantage,disadvantage,,n.
explode,explode,,v.
fasten,fasten,,v.
generous,generous,,adj.
horror,horror,,n.
impact,impact,,n.|v.
ingredient,ingredient,,n.
leisure,leisure,,n.
mild,mild,,adj.
