lemma,display_word,variant,oxford_pos
imaginary,imaginary,,adj.
incredibly,incredibly,,adv.
indirect,indirect,,adj.
indoor,indoor,,adj.
indoors,indoors,,adv.
injured,injured,,adj.
involved,involved,,adj.
keyboard,keyboard,,n.
killing,killing,,n.
latest,latest,,adj.
leading,leading,,adj.
living,living,,adj.|n.
located,located,,adj.
lonely,lonely,,adj.
marketing,marketing,,n.
old-fashioned,old-fashioned,,adj.
organized,organized,,adj.
organizer,organizer,,n.
ours,ours,,pron.
outdoor,outdoor,,adj.
outdoors,outdoors,,adv.
painful,painful,,adj.
photographer,photographer,,n.
photography,photography,,n.
planning,planning,,n.
poisonous,poisonous,,adj.
prayer,prayer,,n.
prediction,prediction,,n.
prepared,prepared,,adj.
princess,princess,,n.
printing,printing,,n.
punishment,punishment,,n.
qualified,qualified,,adj.
quotation,quotation,,n.
racing,racing,,n.
related,related,,adj.
relaxed,relaxed,,adj.
relaxing,relaxing,,adj.
repeated,repeated,,adj.
retired,retired,,adj.
sailor,sailor,,n.
script,script,,n.
setting,setting,,n.
shiny,shiny,,adj.
similarity,similarity,,n.
spending,spending,,n.
spicy,spicy,,adj.
spoken,spoken,,adj.
stadium,stadium,,n.
talented,talented,,adj.
theirs,theirs,,pron.
ton,ton,,n.
trainer,trainer,,n.
translation,translation,,n.
uncomfortable,uncomfortable,,adj.
underwear,underwear,,n.
unemployed,unemployed,,adj.
unfair,unfair,,adj.
unnecessary,unnecessary,,adj.
unpleasant,unpleasant,,adj.
