lemma,display_word,variant,oxford_pos
necessary,necessary,,adj.
region,region,,n.
catch,catch,,v.
simple,simple,,adj.
average,average,,adj.|n.
character,character,,n.
hit,hit,,n.|v.
final,final,,n.
fit,fit,,adj.|v.
guy,guy,,n.
image,image,,n.
size,size,,n.
behavior,behavior,behaviour,n.
population,population,,n.
fail,fail,,v.
environment,environment,,n.
comment,comment,,n.
enter,enter,,v.
alone,alone,,adj.|adv.
drug,drug,,n.
series,series,,n.
direct,direct,,adj.
director,director,,n.
clearly,clearly,,adv.
review,review,,n.|v.
depend,depend,,v.
race,race,,n.
race,race,,v.
recognize,recognize,,v.
purpose,purpose,,n.
department,department,,n.
argue,argue,,v.
board,board,,n.
holiday,holiday,,n.
mark,mark,,n.|v.
church,church,,n.
achieve,achieve,,v.
item,item,,n.
season,season,,n.
wide,wide,,adj.
method,method,,n.
discussion,discussion,,n.
nearly,nearly,,adv.
link,link,,n.|v.
advantage,advantage,,n.
marry,marry,,v.
ability,ability,,n.
unit,unit,,n.
solution,solution,,n.
specific,specific,,adj.
fear,fear,,n.
serious,serious,,adj.
target,target,,n.
degree,degree,,n.
pull,pull,,v.
movement,movement,,n.
identify,identify,,v.
conference,conference,,n.
village,village,,n.
express,express,,v.
