lemma,display_word,variant,oxford_pos
ridicule,ridicule,,n.|v.
ridiculous,ridiculous,,adj.
riot,riot,,n.|v.
roar,roar,,n.|v.
roast,roast,,adj.|n.|v.
rod,rod,,n.
rot,rot,,n.|v.
rumor,rumor,rumour,n.|v.
sack,sack,,n.|v.
sacred,sacred,,adj.
sacrifice,sacrifice,,n.|v.
scandal,scandal,,n.
scarce,scarce,,adj.
scatter,scatter,,v.
scramble,scramble,,n.|v.
screw,screw,,n.|v.
sculpt,sculpt,,v.
seize,seize,,v.
sensation,sensation,,n.
sentiment,sentiment,,n.
simulate,simulate,,v.
simultaneous,simultaneous,,adj.
sin,sin,,n.|v.
skip,skip,,n.|v.
slim,slim,,adj.|v.
sneak,sneak,,adj.|n.|v.
soak,soak,,n.|v.
sociology,sociology,,n.
sole,sole,,adj.|n.|v.
sophisticate,sophisticate,,v.
span,span,,n.|v.
spark,spark,,n.|v.
spectacle,spectacle,,n.
spectrum,spectrum,,n.
sphere,sphere,,n.
spill,spill,,n.|v.
spit,spit,,n.|v.
splash,splash,,n.|v.
spouse,spouse,,n.
squeeze,squeeze,,n.|v.
stack,stack,,n.|v.
starve,starve,,v.
stitch,stitch,,n.|v.
stripe,stripe,,n.|v.
subjective,subjective,,adj.
submarine,submarine,,adj.|n.
submission,submission,,n.
subscribe,subscribe,,v.
subtle,subtle,,adj.
suburb,suburb,,n.
suck,suck,,n.|v.
suffice,suffice,,v.
suicide,suicide,,n.
suite,suite,,n.
summit,summit,,n.
superb,superb,,adj.
superior,superior,,adj.|n.
supervise,supervise,,v.
surrender,surrender,,n.|v.
sweat,sweat,,n.|v.
