lemma,display_word,variant,oxford_pos
stir,stir,,n.|v.
sigh,sigh,,n.|v.
pregnancy,pregnancy,,n.
experimental,experimental,,adj.
institutional,institutional,,adj.
wander,wander,,n.|v.
empire,empire,,n.
subsequently,subsequently,,adv.
attendance,attendance,,n.
ownership,ownership,,n.
suspend,suspend,,v.
functional,functional,,adj.
voluntary,voluntary,,adj.
stain,stain,,n.|v.
organic,organic,,adj.
server,server,,n.
structural,structural,,adj.
fool,fool,,n.|v.
alongside,alongside,,adv.|prep.
unite,unite,,v.
gently,gently,,adv.
compute,compute,,v.
wipe,wipe,,n.|v.
weird,weird,,adj.
gaze,gaze,,n.|v.
fade,fade,,v.
cough,cough,,n.|v.
hypothesis,hypothesis,,n.
theoretical,theoretical,,adj.
darkness,darkness,,n.
tournament,tournament,,n.
registration,registration,,n.
fragment,fragment,,n.|v.
immigration,immigration,,n.
tender,tender,,adj.|n.|v.
density,density,,n.
module,module,,n.
faithfully,faithfully,,adv.
autumn,autumn,,n.
cheek,cheek,,n.
attachment,attachment,,n.
holder,holder,,n.
grin,grin,,n.|v.
rose,rose,,n.
noun,noun,,n.
fortunate,fortunate,,adj.
alright,alright,,adj.|adv.
hunger,hunger,,n.|v.
insure,insure,,v.
thirst,thirst,,n.|v.
airplane,airplane,aeroplane,n.
restroom,restroom,,n.
badminton,badminton,,n.
basket,basket,,n.
bat,bat,,n.|v.
biscuit,biscuit,,n.
comic,comic,,adj.|n.
congratulate,congratulate,,v.
crayon,crayon,,n.
doll,doll,,n.
