lemma,display_word,variant,oxford_pos
prefer,prefer,,v.
clothes,clothes,,n.
dance,dance,,n.|v.
sister,sister,,n.
university,university,,n.
dollar,dollar,,n.
garden,garden,,n.
yeah,yeah,,exclam.
conversation,conversation,,n.
somebody,somebody,,pron.
pound,pound,,n.
magazine,magazine,,n.
welcome,welcome,,adj.|exclam.|v.
favorite,favorite,favourite,adj.|n.
rich,rich,,adj.
famous,famous,,adj.
warm,warm,,adj.
writer,writer,,n.
correct,correct,,adj.|v.
telephone,telephone,,n.|v.
advice,advice,,n.
glass,glass,,n.
radio,radio,,n.
text,text,,n.
ride,ride,,v.
title,title,,n.
extra,extra,,adj.
chair,chair,,n.
expensive,expensive,,adj.
video,video,,n.
weather,weather,,n.
wonderful,wonderful,,adj.
farm,farm,,n.
negative,negative,,adj.
band,band,,n.
pair,pair,,n.
cheap,cheap,,adj.
leg,leg,,n.
sentence,sentence,,n.
nobody,nobody,,pron.
perfect,perfect,,adj.
dinner,dinner,,n.
slow,slow,,adj.
partner,partner,,n.
horse,horse,,n.
reader,reader,,n.
taxi,taxi,,n.
mistake,mistake,,n.
cool,cool,,adj.
south,south,,adj.|adv.|n.
library,library,,n.
email,email,,n.|v.
river,river,,n.
photograph,photograph,photo,n.
artist,artist,,n.
quick,quick,,adj.
cook,cook,,v.
driver,driver,,n.
ball,ball,,n.
north,north,,adj.|adv.|n.
