lemma,display_word,variant,oxford_pos
die,die,,v.
cut,cut,,v.
describe,describe,,v.
strong,strong,,adj.
girl,girl,,n.
maybe,maybe,,adv.
else,else,,adv.
join,join,,v.
difficult,difficult,,adj.
please,please,,exclam.
detail,detail,,n.
difference,difference,,n.
action,action,,n.
health,health,,n.
eat,eat,,v.
TRUE,TRUE,,adj.
phone,phone,,n.|v.
draw,draw,,v.
white,white,,adj.|n.
date,date,,n.
practice,practice,practise,n.|v.
model,model,,n.
customer,customer,,n.
front,front,,adj.|n.
explain,explain,,v.
door,door,,n.
outside,outside,,adv.
behind,behind,,adv.|prep.
teacher,teacher,,n.
land,land,,n.
travel,travel,,n.|v.
enjoy,enjoy,,v.
nice,nice,,adj.
improve,improve,,v.
picture,picture,,n.
boy,boy,,n.
happy,happy,,adj.
project,project,,n.
road,road,,n.
list,list,,n.|v.
wear,wear,,v.
teach,teach,,v.
air,air,,n.
news,news,,n.
space,space,,n.
usually,usually,,adv.
address,address,,n.
common,common,,adj.
culture,culture,,n.
listen,listen,,v.
wrong,wrong,,adj.
foot,foot,,n.
check,check,,v.
complete,complete,,adj.|v.
lie,lie,,v.
personal,personal,,adj.
animal,animal,,n.
arrive,arrive,,v.
similar,similar,,adj.
fine,fine,,adj.
