lemma,display_word,variant,oxford_pos
naturally,naturally,,adv.
currency,currency,,n.
rarely,rarely,,adv.
western,western,,adj.
muscle,muscle,,n.
album,album,,n.
frighten,frighten,,v.
poem,poem,,n.
competitor,competitor,,n.
alcohol,alcohol,,n.
confident,confident,,adj.
entrance,entrance,,n.
giant,giant,,adj.|n.
substance,substance,,n.
smooth,smooth,,adj.
similarly,similarly,,adv.
statistic,statistic,,n.
regularly,regularly,,adv.
iron,iron,,n.|v.
bend,bend,,n.|v.
alarm,alarm,,n.
flood,flood,,n.|v.
poverty,poverty,,n.
lip,lip,,n.
apologize,apologize,,v.
translate,translate,,v.
pleasant,pleasant,,adj.
overseas,overseas,,adj.
summary,summary,,n.
rough,rough,,adj.
tube,tube,,n.
admire,admire,,v.
illegal,illegal,,adj.
eastern,eastern,,adj.
custom,custom,,n.
sand,sand,,n.
cap,cap,,n.
mess,mess,,n.
cream,cream,,adj.
bury,bury,,v.
mad,mad,,adj.
impressive,impressive,,adj.
violent,violent,,adj.
slave,slave,,n.
journal,journal,,n.
coal,coal,,n.
successfully,successfully,,adv.
laboratory,laboratory,,n.
passion,passion,,n.
champion,champion,,n.
dust,dust,,n.
announcement,announcement,,n.
chest,chest,,n.
silent,silent,,adj.
celebration,celebration,,n.
weigh,weigh,,v.
friendship,friendship,,n.
profession,profession,,n.
entertain,entertain,,v.
historic,historic,,adj.
