lemma,display_word,variant,oxford_pos
tuesday,Tuesday,,n.
tv,TV,,n.
upstairs,upstairs,,adv.
us,us,,pron.
waiter,waiter,,n.
wednesday,Wednesday,,n.
writing,writing,,n.
your,your,,det.
have,have,,auxiliary v.
as,as,,adv.|conj.
all,all,,adv.
can,can,,n.
good,good,,n.
use,use,,n.
look,look,,n.
first,first,,n.
any,any,,adv.
after,after,,adv.|conj.
need,need,,n.
back,back,,adj.
may,May,,modal v.
such,such,,det.|pron.
last,last,,adv.
last,last,,n.
last,last,,v.
before,before,,adv.|conj.
between,between,,adv.
number,number,,v.
own,own,,v.
little,little,,adv.
start,start,,n.
talk,talk,,n.
high,high,,adv.
while,while,,conj.
might,might,,modal v.
home,home,,adj.
report,report,,v.
case,case,,n.
book,book,,v.
seem,seem,,v.
system,system,,n.
question,question,,v.
since,since,,conj.|prep.
run,run,,n.
state,state,,n.
provide,provide,,v.
government,government,,n.
pay,pay,,n.
hold,hold,,v.
service,service,,n.
against,against,,prep.
second,second,,adv.
increase,increase,,n.
increase,increase,,v.
offer,offer,,n.|v.
close,close,,adj.
lead,lead,,v.
hope,hope,,n.
less,less,,adv.|det.|pron.
level,level,,n.
