lemma,display_word,variant,oxford_pos
instrument,instrument,,n.
soft,soft,,adj.
lock,lock,,n.|v.
celebrate,celebrate,,v.
shoulder,shoulder,,n.
ourselves,ourselves,,pron.
sheet,sheet,,n.
engine,engine,,n.
explanation,explanation,,n.
musical,musical,,adj.
careful,careful,,adj.
analyze,analyze,,v.
mail,mail,,n.|v.
researcher,researcher,,n.
ordinary,ordinary,,adj.
anywhere,anywhere,,adv.|pron.
personality,personality,,n.
fat,fat,,n.
tip,tip,,n.
disappear,disappear,,v.
shout,shout,,n.|v.
hill,hill,,n.
instruction,instruction,,n.
ideal,ideal,,adj.
compete,compete,,v.
weak,weak,,adj.
passenger,passenger,,n.
thin,thin,,adj.
formal,formal,,adj.
employer,employer,,n.
plate,plate,,n.
steal,steal,,v.
circle,circle,,n.|v.
helpful,helpful,,adj.
attractive,attractive,,adj.
joke,joke,,n.|v.
sky,sky,,n.
column,column,,n.
electronic,electronic,,adj.
criminal,criminal,,n.
ancient,ancient,,adj.
coast,coast,,n.
ill,ill,,adj.
assistant,assistant,,adj.|n.
everywhere,everywhere,,adv.
medicine,medicine,,n.
professor,professor,,n.
gap,gap,,n.
alive,alive,,adj.
shut,shut,,adj.|v.
enormous,enormous,,adj.
sweet,sweet,,adj.|n.
smell,smell,,n.|v.
pilot,pilot,,n.
communicate,communicate,,v.
injury,injury,,n.
knock,knock,,v.
salary,salary,,n.
lake,lake,,n.
habit,habit,,n.
