lemma,display_word,variant,oxford_pos
crime,crime,,n.
dry,dry,,adj.|v.
heat,heat,,n.|v.
distance,distance,,n.
guide,guide,,n.|v.
feed,feed,,v.
pain,pain,,n.
expert,expert,,adj.|n.
wave,wave,,n.
excellent,excellent,,adj.
camp,camp,,n.|v.
audience,audience,,n.
lift,lift,,v.
advertise,advertise,advertize,v.
photograph,photograph,photo,v.
crowd,crowd,,n.
corner,corner,,n.
gas,gas,,n.
secretary,secretary,,n.
cook,cook,,n.
cry,cry,,v.
introduction,introduction,,n.
refuse,refuse,,v.
neither,neither,,det.|pron.
solve,solve,,v.
background,background,,n.
tool,tool,,n.
smoke,smoke,,n.|v.
brain,brain,,n.
schedule,schedule,,n.
speaker,speaker,,n.
bottom,bottom,,adj.|n.
hide,hide,,v.
colleague,colleague,,n.
expression,expression,,n.
extremely,extremely,,adv.
owner,owner,,n.
lady,lady,,n.
connect,connect,,v.
arrange,arrange,,v.
unfortunately,unfortunately,,adv.
secret,secret,,adj.|n.
novel,novel,,n.
burn,burn,,v.
suggestion,suggestion,,n.
mostly,mostly,,adv.
earth,earth,,n.
pop,pop,,adj.|n.
employ,employ,,v.
fan,fan,,n.
fresh,fresh,,adj.
engineer,engineer,,n.
somewhere,somewhere,,adv.|pron.
jump,jump,,n.|v.
tradition,tradition,,n.
cash,cash,,n.
award,award,,n.
coach,coach,,n.
experiment,experiment,,n.
strange,strange,,adj.
