lemma,display_word,variant,oxford_pos
six,six,,number
soup,soup,,n.
ten,ten,,number
third,third,,number
thirteen,thirteen,,number
thirty,thirty,,number
three,three,,number
tomato,tomato,,n.
twelve,twelve,,number
twenty,twenty,,number
two,two,,number
umbrella,umbrella,,n.
dictionary,dictionary,,n.
jeans,jeans,,n.
passport,passport,,n.
pepper,pepper,,n.
purple,purple,,adj.|n.
snake,snake,,n.
sweater,sweater,,n.
thousand,thousand,,number
vacation,vacation,,n.
bye,bye,,exclam.
geography,geography,,n.
gym,gym,,n.
hungry,hungry,,adj.
million,million,,number
tired,tired,,adj.
bathroom,bathroom,,n.
cafe,cafe,,n.
actress,actress,,n.
amazing,amazing,,adj.
april,April,,n.
august,August,,n.
awesome,awesome,,adj.
beginning,beginning,,n.
best,best,,adj.
better,better,,adj.
bicycle,bicycle,,n.
birthday,birthday,,n.
blond,blond,,adj.
bored,bored,,adj.
boring,boring,,adj.
born,born,,v.
boyfriend,boyfriend,,n.
building,building,,n.
cannot,cannot,,modal v.
cd,CD,,n.
classroom,classroom,,n.
cooking,cooking,,n.
dancer,dancer,,n.
dancing,dancing,,n.
december,December,,n.
downstairs,downstairs,,adv.
dvd,DVD,,n.
eighteen,eighteen,,number
eighty,eighty,,number
euro,euro,,n.
excited,excited,,adj.
exciting,exciting,,adj.
february,February,,n.
