lemma,display_word,variant,oxford_pos
noon,noon,,n.
oak,oak,,n.
parade,parade,,n.|v.
pardon,pardon,,exclam.|n.|v.
pear,pear,,n.
picnic,picnic,,n.|v.
pie,pie,,n.
pine,pine,,n.|v.
pity,pity,,n.|v.
pole,pole,,n.
pollute,pollute,,v.
pork,pork,,n.
probable,probable,,adj.
punch,punch,,n.|v.
puzzle,puzzle,,n.|v.
rainbow,rainbow,,n.
rob,rob,,v.
rocket,rocket,,n.|v.
scarf,scarf,,n.
scratch,scratch,,adj.|n.|v.
sew,sew,,v.
shave,shave,,n.|v.
smash,smash,,n.|v.
snack,snack,,n.|v.
sore,sore,,adj.|n.
sour,sour,,adj.|v.
spoil,spoil,,n.|v.
spray,spray,,n.|v.
spy,spy,,n.|v.
stairs,stairs,,n.
steam,steam,,n.|v.
strawberry,strawberry,,n.
super,super,,adj.|adv.|n.
supper,supper,,n.
swallow,swallow,,n.|v.
tense,tense,,adj.|n.|v.
tide,tide,,n.|v.
tin,tin,,n.
toast,toast,,n.|v.
tray,tray,,n.
triangle,triangle,,n.
trunk,trunk,,n.
villa,villa,,n.
whale,whale,,n.
whistle,whistle,,n.|v.
yell,yell,,n.|v.
zebra,zebra,,n.
aboard,aboard,,adv.|prep.
abort,abort,,v.
abound,abound,,v.
absent,absent,,adj.|v.
absorb,absorb,,v.
absurd,absurd,,adj.
abundant,abundant,,adj.
academy,academy,,n.
accelerate,accelerate,,v.
accommodate,accommodate,,v.
accumulate,accumulate,,v.
ache,ache,,n.|v.
acid,acid,,adj.|n.
