lemma,display_word,variant,oxford_pos
subway,subway,,n.
beef,beef,,n.
candy,candy,,n.
cookie,cookie,cooky,n.
fork,fork,,n.
jam,jam,,n.
math,math,,n.
monkey,monkey,,n.
queen,queen,,n.
soccer,soccer,,n.
sock,sock,,n.
spoon,spoon,,n.
wedding,wedding,,n.
asleep,asleep,,adj.
bean,bean,,n.
billion,billion,,number
blank,blank,,adj.|n.
boil,boil,,v.
clerk,clerk,,n.
dentist,dentist,,n.
diary,diary,,n.
fever,fever,,n.
frog,frog,,n.
grocery,grocery,,n.
lab,lab,,n.
lamp,lamp,,n.
lemon,lemon,,n.
nut,nut,,n.
oven,oven,,n.
palace,palace,,n.
pet,pet,,n.
polite,polite,,adj.
pronounce,pronounce,,v.
recipe,recipe,,n.
rude,rude,,adj.
sauce,sauce,,n.
teenage,teenage,,adj.
thief,thief,,n.
towel,towel,,n.
zero,zero,,number
architect,architect,,n.
biology,biology,,n.
celebrity,celebrity,,n.
chef,chef,,n.
continent,continent,,n.
elevator,elevator,,n.
headache,headache,,n.
incredible,incredible,,adj.
informal,informal,,adj.
insect,insect,,n.
intelligent,intelligent,,adj.
media,media,,n.
physics,physics,,n.
poster,poster,,n.
publish,publish,,v.
reception,reception,,n.
recycle,recycle,,v.
refrigerator,refrigerator,,n.
soap,soap,,n.
stove,stove,,n.
