lemma,display_word,variant,oxford_pos
friendly,friendly,,adj.
ice,ice,,n.
farmer,farmer,,n.
desk,desk,,n.
tea,tea,,n.
bottle,bottle,,n.
dad,dad,,n.
fruit,fruit,,n.
terrible,terrible,,adj.
fat,fat,,adj.
ear,ear,,n.
yard,yard,,n.
cat,cat,,n.
neighborhood,neighborhood,,n.
sad,sad,,adj.
sick,sick,,adj.
chart,chart,,n.
east,east,,adj.|adv.|n.
hat,hat,,n.
tall,tall,,adj.
milk,milk,,n.
online,online,,adj.|adv.
phrase,phrase,,n.
angry,angry,,adj.
breakfast,breakfast,,n.
hi,hi,,exclam.
yellow,yellow,,adj.|n.
diet,diet,,n.
gray,gray,grey,adj.|n.
coat,coat,,n.
meat,meat,,n.
dish,dish,,n.
shirt,shirt,,n.
brown,brown,,adj.|n.
tennis,tennis,,n.
mouse,mouse,,n.
snow,snow,,n.|v.
spell,spell,,v.
bike,bike,,n.
smart,smart,,adj.
tooth,tooth,,n.
beer,beer,,n.
FALSE,FALSE,,adj.
routine,routine,,n.
meter,meter,,n.
truck,truck,,n.
nose,nose,,n.
mom,mom,,n.
apartment,apartment,,n.
cake,cake,,n.
singer,singer,,n.
festival,festival,,n.
vegetable,vegetable,,n.
sugar,sugar,,n.
pink,pink,,adj.|n.
exam,exam,,n.
jacket,jacket,,n.
dirty,dirty,,adj.
bread,bread,,n.
boot,boot,,n.
